Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Smoke_XYZApp,Chrome 72.0.3626.81,,2019-03-03 20:38:09,2019-03-03 20:38:35,26.041s,FAILED
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AUT_Appointments/TC_Login,Chrome 72.0.3626.81,,2019-03-03 20:38:09,2019-03-03 20:38:19,9.617s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-03 20:38:10,2019-03-03 20:38:13,3.424s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 72.0.3626.81,,2019-03-03 20:38:13,2019-03-03 20:38:17,4.091s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 72.0.3626.81,,2019-03-03 20:38:17,2019-03-03 20:38:18,0.508s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 72.0.3626.81,,2019-03-03 20:38:18,2019-03-03 20:38:18,0.268s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 72.0.3626.81,,2019-03-03 20:38:18,2019-03-03 20:38:18,0.375s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 72.0.3626.81,,2019-03-03 20:38:18,2019-03-03 20:38:19,0.371s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-03 20:38:19,2019-03-03 20:38:19,0.005s,NOT_RUN
,,,,,,
Test Cases/API Testing/USER_API_TESTING/SglUserDetails_ForceFailure,Chrome 72.0.3626.81,,2019-03-03 20:38:19,2019-03-03 20:38:26,7.593s,PASSED
"apiUD_Response = sendRequest(findTestObject(""WS_Objects/RESTAPI_GET_SingleUser""))",Chrome 72.0.3626.81,,2019-03-03 20:38:19,2019-03-03 20:38:26,7.141s,PASSED
"verifyResponseStatusCode(apiUD_Response, 200)",Chrome 72.0.3626.81,,2019-03-03 20:38:26,2019-03-03 20:38:26,0.016s,PASSED
"verifyElementPropertyValue(apiUD_Response, ""data.first_name"", ""Janet"")",Chrome 72.0.3626.81,,2019-03-03 20:38:26,2019-03-03 20:38:26,0.069s,PASSED
,,,,,,
Test Cases/API Testing/USER_API_TESTING/SingleUserDetails,Chrome 72.0.3626.81,,2019-03-03 20:38:26,2019-03-03 20:38:27,1.137s,FAILED
"apiUD_Response = sendRequest(findTestObject(""WS_Objects/RESTAPI_GET_SingleUser""))",Chrome 72.0.3626.81,,2019-03-03 20:38:26,2019-03-03 20:38:27,0.812s,PASSED
"verifyResponseStatusCode(apiUD_Response, 200)",Chrome 72.0.3626.81,,2019-03-03 20:38:27,2019-03-03 20:38:27,0.004s,PASSED
"verifyElementPropertyValue(apiUD_Response, ""data.first_name"", ""Wanda"")",Chrome 72.0.3626.81,,2019-03-03 20:38:27,2019-03-03 20:38:27,0.043s,FAILED
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AppX/Search/TC_GoogleSearch,Chrome 72.0.3626.81,,2019-03-03 20:38:27,2019-03-03 20:38:35,7.190s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-03 20:38:28,2019-03-03 20:38:30,2.409s,PASSED
"navigateToUrl(""https://www.google.com/?gws_rd=ssl"")",Chrome 72.0.3626.81,,2019-03-03 20:38:30,2019-03-03 20:38:32,1.810s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/input_Sign in_q""), ""testingsearch "")",Chrome 72.0.3626.81,,2019-03-03 20:38:32,2019-03-03 20:38:32,0.304s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/input_testingsearch_q""), ""testingsearch "")",Chrome 72.0.3626.81,,2019-03-03 20:38:32,2019-03-03 20:38:33,0.354s,PASSED
"click(findTestObject(""Object Repository/Page_Google/input_Remove_btnK""))",Chrome 72.0.3626.81,,2019-03-03 20:38:33,2019-03-03 20:38:34,1.251s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-03 20:38:34,2019-03-03 20:38:35,0.758s,PASSED
