Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionSuite_QuickDemo,Chrome 72.0.3626.81,Run quick regression during demo,2019-03-04 21:30:37,2019-03-04 21:30:48,11.062s,PASSED
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AUT_Appointments/TC_Login,Chrome 72.0.3626.81,,2019-03-04 21:30:37,2019-03-04 21:30:42,5.570s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-04 21:30:37,2019-03-04 21:30:39,1.974s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 72.0.3626.81,,2019-03-04 21:30:39,2019-03-04 21:30:41,2.385s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 72.0.3626.81,,2019-03-04 21:30:41,2019-03-04 21:30:42,0.349s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 72.0.3626.81,,2019-03-04 21:30:42,2019-03-04 21:30:42,0.148s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 72.0.3626.81,,2019-03-04 21:30:42,2019-03-04 21:30:42,0.167s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/whbutton_Login""))",Chrome 72.0.3626.81,,2019-03-04 21:30:42,2019-03-04 21:30:42,0.268s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-04 21:30:42,2019-03-04 21:30:42,0.001s,NOT_RUN
,,,,,,
Test Cases/WEBUI_Demo/_DemoEval/AUT_Appointments/TC_LoginFailure,Chrome 72.0.3626.81,,2019-03-04 21:30:42,2019-03-04 21:30:47,4.629s,PASSED
"openBrowser("""")",Chrome 72.0.3626.81,,2019-03-04 21:30:43,2019-03-04 21:30:44,1.774s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 72.0.3626.81,,2019-03-04 21:30:44,2019-03-04 21:30:46,1.814s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 72.0.3626.81,,2019-03-04 21:30:46,2019-03-04 21:30:46,0.321s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""WHayes"")",Chrome 72.0.3626.81,,2019-03-04 21:30:46,2019-03-04 21:30:47,0.133s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 72.0.3626.81,,2019-03-04 21:30:47,2019-03-04 21:30:47,0.144s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/whbutton_Login""))",Chrome 72.0.3626.81,,2019-03-04 21:30:47,2019-03-04 21:30:47,0.261s,PASSED
closeBrowser(),Chrome 72.0.3626.81,,2019-03-04 21:30:47,2019-03-04 21:30:47,0.001s,NOT_RUN
